Title,Description,Image URL
"Title: آمار شهدای غزه به ۴۳ هزار و ۶۶۵ نفر افزایش یافت, Description: وزارت بهداشت فلسطین در نوار غزه اعلام کرد که شمار شهدای حملات ارتش رژیم صهیونیستی به نوار غزه به ۴۳ هزار و ۶۶۵ نفر رسیده است., Image URL: https://www.rajanews.com/sites/default/files/styles/archive/public/content/images/story/03-08/22/4795534.jpg?itok=GQhDSfdo"

"Title: رژه دولت روی اعصاب مردم با مواضع زیگزاگی و اطلاع رسانی فریبکارانه/ هم برق قطع می‌شود و هم مازوت سوزی ادامه می‌یابد, Description: فاطمه مهاجرانی سخنگوی دولت گفت : با تصویب همه افراد هیات دولت انتخاب شد که مازوت‌سوزی کم شود., Image URL: https://www.rajanews.com/sites/default/files/styles/archive/public/content/images/story/03-08/22/photo_2024-11-12_12-44-32.jpg?itok=8R5WOGJL"

"Title: رای قاطع ۲۰۰ نماینده مجلس به تخلف مالواجرد/ وزیر راه پزشکیان به دادگاه می‌رود, Description: فرزانه صادق مالواجرد، وزیر راه و شهرسازی دولت پزشکیان بابت تخلف در تعویق انتخابات نظام مهندسی ساختمان، باید در دادگاه پاسخگوی تخلفات خود باشد., Image URL: https://www.rajanews.com/sites/default/files/styles/archive/public/content/images/story/03-08/22/photo_2024-11-12_14-43-51.jpg?itok=Qg-BxCWU"

"Title: «اطلاع رسانی فریبکارانه» دولت ادامه دارد/ ۳ نیروگاهی که مصرف مازوت آن‌ها متوقف شد، فقط ۹ درصد مازوت نیروگاهی می‌سوزاندند, Description: در سال گذشته ۱۵ نیروگاه‌ کشور مصرف مازوت داشته‌اند. در بین نیروگاه‌های مصرف‌کننده مازوت، نیروگاه شهید رجایی قزوین با سهم ۱۴ درصدی، بیشترین سهم را از مصرف مازوت داشته است., Image URL: https://www.rajanews.com/sites/default/files/styles/archive/public/content/images/story/03-08/22/photo_2024-11-12_11-22-11.jpg?itok=i3M5rJAn"

"Title: یمن: ناو هواپیمابر آبراهام را در دریای سرخ با پهپاد و موشک هدف قرار دادیم, Description: سخنگوی نیروهای مسلح یمن از هدف قرار دادن سه ناو نیروی دریایی آمریکا در دریای سرخ و اقیانوس هند با تعدادی موشک بالستیک، بالدار و پهپاد خبر داد که که اولین آن، ناو هواپیمابر آمریکایی (آبراهام) واقع در اقیانوس هند است., Image URL: https://www.rajanews.com/sites/default/files/styles/archive/public/content/images/story/03-08/22/173142990722847800.jpg?itok=W2EBd14G"

